Name,Gruppe,Platz,Tipp,Emoji
Papa,A,1. Platz,Germany,🇩🇪
Papa,A,2. Platz,Switzerland,🇨🇭
Papa,B,1. Platz,Albania,🇦🇱
Papa,B,2. Platz,Spain,🇪🇸
Papa,C,1. Platz,Serbia,🇷🇸
Papa,C,2. Platz,Slovenia,🇸🇮
Papa,D,1. Platz,Poland,🇵🇱
Papa,D,2. Platz,Austria,🇦🇹
Papa,E,1. Platz,Romania,🇷🇴
Papa,E,2. Platz,Belgium,🇧🇪
Papa,F,1. Platz,Turkey,🇹🇷
Papa,F,2. Platz,Portugal,🇵🇹
Augi,A,1. Platz,Germany,🇩🇪
Augi,A,2. Platz,Switzerland,🇨🇭
Augi,B,1. Platz,Spain,🇪🇸
Augi,B,2. Platz,Croatia,🇭🇷
Augi,C,1. Platz,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿
Augi,C,2. Platz,Slovenia,🇸🇮
Augi,D,1. Platz,Netherlands,🇳🇱
Augi,D,2. Platz,France,🇫🇷
Augi,E,1. Platz,Belgium,🇧🇪
Augi,E,2. Platz,Ukraine,🇺🇦
Augi,F,1. Platz,Portugal,🇵🇹
Augi,F,2. Platz,Czech Republic,🇨🇿
Mama,A,1. Platz,Germany,🇩🇪
Mama,A,2. Platz,Switzerland,🇨🇭
Mama,B,1. Platz,Spain,🇪🇸
Mama,B,2. Platz,Italy,🇮🇹
Mama,C,1. Platz,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿
Mama,C,2. Platz,Denmark,🇩🇰
Mama,D,1. Platz,Poland,🇵🇱
Mama,D,2. Platz,Netherlands,🇳🇱
Mama,E,1. Platz,Belgium,🇧🇪
Mama,E,2. Platz,Ukraine,🇺🇦
Mama,F,1. Platz,Portugal,🇵🇹
Mama,F,2. Platz,Czech Republic,🇨🇿
Lele,A,1. Platz,Germany,🇩🇪
Lele,A,2. Platz,Scotland,🏴󠁧󠁢󠁳󠁣󠁴󠁿
Lele,B,1. Platz,Italy,🇮🇹
Lele,B,2. Platz,Spain,🇪🇸
Lele,C,1. Platz,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿
Lele,C,2. Platz,Slovenia,🇸🇮
Lele,D,1. Platz,France,🇫🇷
Lele,D,2. Platz,Austria,🇦🇹
Lele,E,1. Platz,Belgium,🇧🇪
Lele,E,2. Platz,Ukraine,🇺🇦
Lele,F,1. Platz,Portugal,🇵🇹
Lele,F,2. Platz,Czech Republic,🇨🇿
Consi,A,1. Platz,Germany,🇩🇪
Consi,A,2. Platz,Switzerland,🇨🇭
Consi,B,1. Platz,Spain,🇪🇸
Consi,B,2. Platz,Italy,🇮🇹
Consi,C,1. Platz,Serbia,🇷🇸
Consi,C,2. Platz,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿
Consi,D,1. Platz,France,🇫🇷
Consi,D,2. Platz,Netherlands,🇳🇱
Consi,E,1. Platz,Belgium,🇧🇪
Consi,E,2. Platz,Ukraine,🇺🇦
Consi,F,1. Platz,Portugal,🇵🇹
Consi,F,2. Platz,Czech Republic,🇨🇿
Oma,A,1. Platz,Germany,🇩🇪
Oma,A,2. Platz,Hungary,🇭🇺
Oma,B,1. Platz,Italy,🇮🇹
Oma,B,2. Platz,Spain,🇪🇸
Oma,C,1. Platz,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿
Oma,C,2. Platz,Denmark,🇩🇰
Oma,D,1. Platz,France,🇫🇷
Oma,D,2. Platz,Netherlands,🇳🇱
Oma,E,1. Platz,Slovakia,🇸🇰
Oma,E,2. Platz,Belgium,🇧🇪
Oma,F,1. Platz,Portugal,🇵🇹
Oma,F,2. Platz,Turkey,🇹🇷
Lia & Klaus,A,1. Platz,Germany,🇩🇪
Lia & Klaus,A,2. Platz,Hungary,🇭🇺
Lia & Klaus,B,1. Platz,Spain,🇪🇸
Lia & Klaus,B,2. Platz,Croatia,🇭🇷
Lia & Klaus,C,1. Platz,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿
Lia & Klaus,C,2. Platz,Denmark,🇩🇰
Lia & Klaus,D,1. Platz,France,🇫🇷
Lia & Klaus,D,2. Platz,Netherlands,🇳🇱
Lia & Klaus,E,1. Platz,Belgium,🇧🇪
Lia & Klaus,E,2. Platz,Ukraine,🇺🇦
Lia & Klaus,F,1. Platz,Portugal,🇵🇹
Lia & Klaus,F,2. Platz,Czech Republic,🇨🇿
