Name,Platzierung,Tipp,Emoji
Papa,Europameister,Albania,🇦🇱
Papa,2. Platz,Germany,🇩🇪
Papa,3.Platz,Ukraine,🇺🇦
Papa,4. Platz,Scotland,🏴󠁧󠁢󠁳󠁣󠁴󠁿
Augi,Europameister,Spain,🇪🇸
Augi,2. Platz,Germany,🇩🇪
Augi,3.Platz,France,🇫🇷
Augi,4. Platz,Italy,🇮🇹
Mama,Europameister,Italy,🇮🇹
Mama,2. Platz,Germany,🇩🇪
Mama,3.Platz,Spain,🇪🇸
Mama,4. Platz,Netherlands,🇳🇱
Lele,Europameister,Germany,🇩🇪
Lele,2. Platz,France,🇫🇷
Lele,3.Platz,Portugal,🇵🇹
Lele,4. Platz,Italy,🇮🇹
Consi,Europameister,Germany,🇩🇪
Consi,2. Platz,Spain,🇪🇸
Consi,3.Platz,Switzerland,🇨🇭
Consi,4. Platz,France,🇫🇷
Oma,Europameister,Germany,🇩🇪
Oma,2. Platz,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿
Oma,3.Platz,Italy,🇮🇹
Oma,4. Platz,Spain,🇪🇸
Lia & Klaus,Europameister,,
Lia & Klaus,2. Platz,,
Lia & Klaus,3.Platz,,
Lia & Klaus,4. Platz,,
